age,Sr87_86Sr,CI_plus,CI_minus
24.00,0.708205,0.708213,0.708197
24.05,0.708202,0.708210,0.708194
24.10,0.708199,0.708207,0.708191
24.15,0.708196,0.708204,0.708188
24.20,0.708193,0.708201,0.708185
24.25,0.708190,0.708198,0.708182
24.30,0.708187,0.708195,0.708179
24.35,0.708184,0.708192,0.708176
24.40,0.708181,0.708189,0.708173
24.45,0.708178,0.708186,0.708170
24.50,0.708175,0.708183,0.708167
24.55,0.708172,0.708180,0.708164
24.60,0.708169,0.708177,0.708161
24.65,0.708166,0.708175,0.708158
24.70,0.708163,0.708172,0.708155
24.75,0.708161,0.708169,0.708152
24.80,0.708158,0.708167,0.708149
24.85,0.708155,0.708164,0.708146
24.90,0.708152,0.708162,0.708143
24.95,0.708150,0.708159,0.708141
25.00,0.708147,0.708157,0.708138
25.05,0.708145,0.708154,0.708136
25.10,0.708143,0.708152,0.708134
25.15,0.708141,0.708150,0.708131
25.20,0.708139,0.708148,0.708129
25.25,0.708136,0.708146,0.708127
25.30,0.708134,0.708143,0.708125
25.35,0.708132,0.708141,0.708124
25.40,0.708131,0.708139,0.708122
25.45,0.708129,0.708137,0.708120
25.50,0.708127,0.708135,0.708118
25.55,0.708125,0.708133,0.708116
25.60,0.708123,0.708131,0.708115
25.65,0.708121,0.708130,0.708113
25.70,0.708119,0.708128,0.708111
25.75,0.708118,0.708126,0.708109
25.80,0.708116,0.708124,0.708107
25.85,0.708114,0.708123,0.708106
25.90,0.708112,0.708121,0.708104
25.95,0.708111,0.708119,0.708102
26.00,0.708109,0.708117,0.708100
26.05,0.708107,0.708116,0.708098
26.10,0.708105,0.708114,0.708097
26.15,0.708103,0.708112,0.708095
26.20,0.708101,0.708110,0.708093
26.25,0.708100,0.708108,0.708091
26.30,0.708098,0.708106,0.708089
26.35,0.708096,0.708105,0.708088
26.40,0.708094,0.708103,0.708086
26.45,0.708093,0.708101,0.708084
26.50,0.708091,0.708099,0.708083
26.55,0.708089,0.708097,0.708081
26.60,0.708088,0.708096,0.708080
26.65,0.708086,0.708094,0.708078
26.70,0.708084,0.708092,0.708077
26.75,0.708083,0.708091,0.708075
26.80,0.708081,0.708089,0.708074
26.85,0.708080,0.708087,0.708072
26.90,0.708078,0.708086,0.708070
26.95,0.708077,0.708084,0.708069
27.00,0.708075,0.708083,0.708067
27.05,0.708073,0.708081,0.708066
27.10,0.708072,0.708080,0.708064
27.15,0.708070,0.708078,0.708062
27.20,0.708069,0.708076,0.708061
27.25,0.708067,0.708075,0.708059
27.30,0.708065,0.708073,0.708057
27.35,0.708063,0.708071,0.708055
27.40,0.708062,0.708069,0.708054
27.45,0.708060,0.708068,0.708052
